Scenario_No,Run_No,TT_seg_len,Avg_TT,Avg_TT_CHGV,Max_TT,Max_TT_CHGV,std_TT,std_TT_21,Max_Queue_Len_ramp1,Avg_Queue_Len_ramp1,Std_Queue_ramp1,Max_Queue_Len_freln1,Avg_Queue_freln1,Std_Queue_freln1,Max_Queue_Len_ramp2,Avg_Queue_Len_ramp2,Std_Queue_ramp2,Max_Queue_Len_freln2,Avg_Queue_freln2,Std_Queue_freln2
Scenario1,1,3800,42.9517,44.469,56.7708,54.0822,2.74888,3.24366,134.102,24.3913,39.8666,99.4608,10.1195,19.9365,177.286,46.6011,51.922,249.467,27.37,54.4141
Scenario1,2,3800,42.4595,42.8103,49.0052,50.0184,1.46752,2.3688,155.933,43.2239,47.1679,94.3761,14.2943,23.2763,180.66,41.8203,54.3055,119.368,18.0018,29.6891
Scenario1,3,3800,44.347,44.6958,66.2777,64.3805,5.73056,4.83515,199.728,34.1417,54.5593,113.658,13.6363,27.7251,233.421,53.7363,57.567,665.386,62.6528,149.066
Scenario1,4,3800,43.4043,44.9331,52.0882,53.3047,2.1929,3.47237,167.302,32.7431,47.7105,161.586,13.0086,28.2297,150.531,48.0287,47.8163,169.504,21.8033,34.8483
Scenario1,5,3800,42.8916,44.4886,54.5225,56.3787,2.4146,4.04937,138.596,39.3033,46.2634,117.982,16.0075,25.9734,147.597,50.3991,55.3194,216.269,27.3054,44.2957
Scenario2,1,5499.95,62.2459,64.4713,73.95,75.2139,2.91238,3.82119,131.68,24.2059,39.5214,96.8747,9.42181,18.9836,229.471,48.2099,59.8604,179.348,26.628,42.8765
Scenario2,2,5499.95,61.4241,62.1549,64.84,69.1898,1.52987,2.43918,157.848,42.8096,48.7617,91.7899,12.5575,22.1762,155.404,38.6292,44.3032,70.0388,13.4489,17.2217
Scenario2,3,5499.95,62.2338,63.2134,69.1934,68.7073,2.31694,2.90449,197.151,35.511,55.1068,111.11,14.1922,27.8119,178.386,64.8912,52.4984,146.096,29.6929,39.0494
Scenario2,4,5499.95,62.6321,63.7731,71.2709,71.1578,2.37857,3.54519,164.88,33.7477,49.4991,159,18.4072,37.1115,425.377,79.3335,94.7891,259.208,41.3998,61.3676
Scenario2,5,5499.95,62.0362,63.5766,69.7375,75.1037,2.36911,3.89286,139.756,39.2657,46.2883,115.396,16.4574,26.8674,184.354,35.9231,48.0111,183.25,18.9097,37.0612
