Scenario_No,Run_No,dc_Avg_spd,dc_min_spd,pos,lane
Scenario1,1,64.4274,62.1101,0,1
Scenario1,1,64.2017,61.9942,0,2
Scenario1,1,63.5597,61.5617,500,1
Scenario1,1,63.559,61.528,500,2
Scenario1,1,61.2517,54.1028,1000,1
Scenario1,1,62.265,56.0213,1000,2
Scenario1,1,56.7137,32.6667,1500,1
Scenario1,1,60.511,29.5295,1500,2
Scenario1,1,57.4418,27.6568,2000,1
Scenario1,1,57.4969,33.6396,2000,2
Scenario1,1,57.877,39.1704,2500,1
Scenario1,1,56.6422,42.2811,2500,2
Scenario1,2,64.1211,62.2059,0,1
Scenario1,2,63.9948,61.3512,0,2
Scenario1,2,63.2592,61.2508,500,1
Scenario1,2,63.3697,60.6224,500,2
Scenario1,2,61.0309,57.037,1000,1
Scenario1,2,62.2794,56.9999,1000,2
Scenario1,2,57.5033,45.9479,1500,1
Scenario1,2,61.6411,52.5585,1500,2
Scenario1,2,58.5917,41.2792,2000,1
Scenario1,2,58.3667,42.887,2000,2
Scenario1,2,58.8542,45.1713,2500,1
Scenario1,2,58.2666,47.0424,2500,2
Scenario1,3,64.1179,61.3871,0,1
Scenario1,3,64.2791,61.0865,0,2
Scenario1,3,63.1059,60.2195,500,1
Scenario1,3,63.4374,60.9914,500,2
Scenario1,3,59.4561,28.2592,1000,1
Scenario1,3,61.0482,32.168,1000,2
Scenario1,3,54.6617,17.8206,1500,1
Scenario1,3,58.4717,19.7158,1500,2
Scenario1,3,56.5318,35.4548,2000,1
Scenario1,3,56.2002,36.0503,2000,2
Scenario1,3,56.7728,37.4651,2500,1
Scenario1,3,56.1576,40.8724,2500,2
Scenario1,4,64.2732,61.7038,0,1
Scenario1,4,64.2899,62.7256,0,2
Scenario1,4,63.1644,59.6286,500,1
Scenario1,4,63.5258,61.7064,500,2
Scenario1,4,60.2361,50.8311,1000,1
Scenario1,4,61.9377,55.0044,1000,2
Scenario1,4,55.9888,33.5774,1500,1
Scenario1,4,60.2664,34.5275,1500,2
Scenario1,4,55.8702,37.6677,2000,1
Scenario1,4,55.6927,36.9977,2000,2
Scenario1,4,56.4677,40.9389,2500,1
Scenario1,4,55.3401,34.4043,2500,2
Scenario1,5,64.1561,61.8495,0,1
Scenario1,5,64.0629,61.6886,0,2
Scenario1,5,63.1488,60.985,500,1
Scenario1,5,63.3846,60.7388,500,2
Scenario1,5,60.4742,55.1089,1000,1
Scenario1,5,61.9856,57.1846,1000,2
Scenario1,5,56.5145,29.2421,1500,1
Scenario1,5,60.2763,35.6682,1500,2
Scenario1,5,57.5032,38.5471,2000,1
Scenario1,5,57.4754,34.7527,2000,2
Scenario1,5,58.3825,45.2826,2500,1
Scenario1,5,57.4038,41.809,2500,2
Scenario2,1,64.4269,62.1216,0,1
Scenario2,1,64.2003,62.0027,0,2
Scenario2,1,63.499,61.4052,500,1
Scenario2,1,63.4973,61.5237,500,2
Scenario2,1,60.2492,47.2767,1000,1
Scenario2,1,61.2815,42.5537,1000,2
Scenario2,1,60.3241,41.8956,1500,1
Scenario2,1,60.1554,42.0587,1500,2
Scenario2,1,60.6687,49.1175,2000,1
Scenario2,1,60.1983,47.3885,2000,2
Scenario2,1,61.4646,52.0498,2500,1
Scenario2,1,61.1316,49.1843,2500,2
Scenario2,1,61.1069,54.6282,3000,1
Scenario2,1,61.0945,51.5692,3000,2
Scenario2,1,56.5943,28.1409,3500,1
Scenario2,1,57.4952,29.699,3500,2
Scenario2,1,58.1697,43.1547,4000,1
Scenario2,1,57.4196,43.0198,4000,2
Scenario2,1,59.1705,48.2193,4500,1
Scenario2,1,58.6575,48.7537,4500,2
Scenario2,2,64.1214,62.216,0,1
Scenario2,2,63.9925,61.3462,0,2
Scenario2,2,63.2252,61.2113,500,1
Scenario2,2,63.3391,60.6415,500,2
Scenario2,2,60.4404,55.9632,1000,1
Scenario2,2,61.3129,51.8272,1000,2
Scenario2,2,60.9651,55.5498,1500,1
Scenario2,2,60.6493,52.2299,1500,2
Scenario2,2,61.3232,54.8542,2000,1
Scenario2,2,60.7761,51.4081,2000,2
Scenario2,2,61.8455,56.8369,2500,1
Scenario2,2,61.7459,55.44,2500,2
Scenario2,2,61.9894,58.3161,3000,1
Scenario2,2,61.9681,57.9598,3000,2
Scenario2,2,58.6096,47.6185,3500,1
Scenario2,2,59.9938,54.1566,3500,2
Scenario2,2,58.9314,50.8065,4000,1
Scenario2,2,58.5516,48.6785,4000,2
Scenario2,2,59.5302,49.2843,4500,1
Scenario2,2,59.2718,51.2669,4500,2
Scenario2,3,64.1199,61.3886,0,1
Scenario2,3,64.2811,61.0926,0,2
Scenario2,3,63.2371,61.0361,500,1
Scenario2,3,63.5658,60.9876,500,2
Scenario2,3,60.3794,54.052,1000,1
Scenario2,3,61.224,52.3898,1000,2
Scenario2,3,60.5021,53.9795,1500,1
Scenario2,3,60.4171,49.5758,1500,2
Scenario2,3,60.4782,51.4677,2000,1
Scenario2,3,60.5382,51.5806,2000,2
Scenario2,3,61.1222,55.1274,2500,1
Scenario2,3,61.3364,52.4646,2500,2
Scenario2,3,61.2947,55.4632,3000,1
Scenario2,3,61.4271,54.1182,3000,2
Scenario2,3,57.1577,41.2257,3500,1
Scenario2,3,57.7308,30.9194,3500,2
Scenario2,3,57.532,41.8004,4000,1
Scenario2,3,57.1227,39.6819,4000,2
Scenario2,3,58.7306,44.2956,4500,1
Scenario2,3,58.1715,40.4193,4500,2
Scenario2,4,64.2656,61.7122,0,1
Scenario2,4,64.2866,62.7129,0,2
Scenario2,4,62.9542,57.4992,500,1
Scenario2,4,63.2972,60.9179,500,2
Scenario2,4,58.9004,37.3829,1000,1
Scenario2,4,59.9039,40.7182,1000,2
Scenario2,4,60.2904,49.348,1500,1
Scenario2,4,60.0116,45.0441,1500,2
Scenario2,4,60.8553,51.6738,2000,1
Scenario2,4,60.6054,48.2092,2000,2
Scenario2,4,61.6254,55.7835,2500,1
Scenario2,4,61.7158,54.1035,2500,2
Scenario2,4,60.9106,49.1981,3000,1
Scenario2,4,61.0747,49.3007,3000,2
Scenario2,4,56.2152,34.9861,3500,1
